"Label (Grouping)","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Occupied housing units!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Percent occupied housing units!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Owner-occupied housing units!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Percent owner-occupied housing units!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Renter-occupied housing units!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Percent renter-occupied housing units!!Estimate","Austin-Round Rock-San Marcos, TX Metro Area!!Occupied housing units!!Estimate","Austin-Round Rock-San Marcos, TX Metro Area!!Percent occupied housing units!!Estimate","Austin-Round Rock-San Marcos, TX Metro Area!!Owner-occupied housing units!!Estimate","Austin-Round Rock-San Marcos, TX Metro Area!!Percent owner-occupied housing units!!Estimate","Austin-Round Rock-San Marcos, TX Metro Area!!Renter-occupied housing units!!Estimate","Austin-Round Rock-San Marcos, TX Metro Area!!Percent renter-occupied housing units!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Occupied housing units!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Percent occupied housing units!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Owner-occupied housing units!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Percent owner-occupied housing units!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Renter-occupied housing units!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Percent renter-occupied housing units!!Estimate","Charlotte-Concord-Gastonia, NC-SC Metro Area!!Occupied housing units!!Estimate","Charlotte-Concord-Gastonia, NC-SC Metro Area!!Percent occupied housing units!!Estimate","Charlotte-Concord-Gastonia, NC-SC Metro Area!!Owner-occupied housing units!!Estimate","Charlotte-Concord-Gastonia, NC-SC Metro Area!!Percent owner-occupied housing units!!Estimate","Charlotte-Concord-Gastonia, NC-SC Metro Area!!Renter-occupied housing units!!Estimate","Charlotte-Concord-Gastonia, NC-SC Metro Area!!Percent renter-occupied housing units!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Occupied housing units!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Percent occupied housing units!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Owner-occupied housing units!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Percent owner-occupied housing units!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Renter-occupied housing units!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Percent renter-occupied housing units!!Estimate","Denver-Aurora-Centennial, CO Metro Area!!Occupied housing units!!Estimate","Denver-Aurora-Centennial, CO Metro Area!!Percent occupied housing units!!Estimate","Denver-Aurora-Centennial, CO Metro Area!!Owner-occupied housing units!!Estimate","Denver-Aurora-Centennial, CO Metro Area!!Percent owner-occupied housing units!!Estimate","Denver-Aurora-Centennial, CO Metro Area!!Renter-occupied housing units!!Estimate","Denver-Aurora-Centennial, CO Metro Area!!Percent renter-occupied housing units!!Estimate","Houston-Pasadena-The Woodlands, TX Metro Area!!Occupied housing units!!Estimate","Houston-Pasadena-The Woodlands, TX Metro Area!!Percent occupied housing units!!Estimate","Houston-Pasadena-The Woodlands, TX Metro Area!!Owner-occupied housing units!!Estimate","Houston-Pasadena-The Woodlands, TX Metro Area!!Percent owner-occupied housing units!!Estimate","Houston-Pasadena-The Woodlands, TX Metro Area!!Renter-occupied housing units!!Estimate","Houston-Pasadena-The Woodlands, TX Metro Area!!Percent renter-occupied housing units!!Estimate","Jacksonville, FL Metro Area!!Occupied housing units!!Estimate","Jacksonville, FL Metro Area!!Percent occupied housing units!!Estimate","Jacksonville, FL Metro Area!!Owner-occupied housing units!!Estimate","Jacksonville, FL Metro Area!!Percent owner-occupied housing units!!Estimate","Jacksonville, FL Metro Area!!Renter-occupied housing units!!Estimate","Jacksonville, FL Metro Area!!Percent renter-occupied housing units!!Estimate","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Occupied housing units!!Estimate","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Percent occupied housing units!!Estimate","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Owner-occupied housing units!!Estimate","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Percent owner-occupied housing units!!Estimate","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Renter-occupied housing units!!Estimate","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Percent renter-occupied housing units!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Occupied housing units!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Percent occupied housing units!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Owner-occupied housing units!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Percent owner-occupied housing units!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Renter-occupied housing units!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Percent renter-occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Percent occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Owner-occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Percent owner-occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Renter-occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Percent renter-occupied housing units!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Occupied housing units!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Percent occupied housing units!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Owner-occupied housing units!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Percent owner-occupied housing units!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Renter-occupied housing units!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Percent renter-occupied housing units!!Estimate","Phoenix-Mesa-Chandler, AZ Metro Area!!Occupied housing units!!Estimate","Phoenix-Mesa-Chandler, AZ Metro Area!!Percent occupied housing units!!Estimate","Phoenix-Mesa-Chandler, AZ Metro Area!!Owner-occupied housing units!!Estimate","Phoenix-Mesa-Chandler, AZ Metro Area!!Percent owner-occupied housing units!!Estimate","Phoenix-Mesa-Chandler, AZ Metro Area!!Renter-occupied housing units!!Estimate","Phoenix-Mesa-Chandler, AZ Metro Area!!Percent renter-occupied housing units!!Estimate","Portland-Vancouver-Hillsboro, OR-WA Metro Area!!Occupied housing units!!Estimate","Portland-Vancouver-Hillsboro, OR-WA Metro Area!!Percent occupied housing units!!Estimate","Portland-Vancouver-Hillsboro, OR-WA Metro Area!!Owner-occupied housing units!!Estimate","Portland-Vancouver-Hillsboro, OR-WA Metro Area!!Percent owner-occupied housing units!!Estimate","Portland-Vancouver-Hillsboro, OR-WA Metro Area!!Renter-occupied housing units!!Estimate","Portland-Vancouver-Hillsboro, OR-WA Metro Area!!Percent renter-occupied housing units!!Estimate","Raleigh-Cary, NC Metro Area!!Occupied housing units!!Estimate","Raleigh-Cary, NC Metro Area!!Percent occupied housing units!!Estimate","Raleigh-Cary, NC Metro Area!!Owner-occupied housing units!!Estimate","Raleigh-Cary, NC Metro Area!!Percent owner-occupied housing units!!Estimate","Raleigh-Cary, NC Metro Area!!Renter-occupied housing units!!Estimate","Raleigh-Cary, NC Metro Area!!Percent renter-occupied housing units!!Estimate","St. Louis, MO-IL Metro Area!!Occupied housing units!!Estimate","St. Louis, MO-IL Metro Area!!Percent occupied housing units!!Estimate","St. Louis, MO-IL Metro Area!!Owner-occupied housing units!!Estimate","St. Louis, MO-IL Metro Area!!Percent owner-occupied housing units!!Estimate","St. Louis, MO-IL Metro Area!!Renter-occupied housing units!!Estimate","St. Louis, MO-IL Metro Area!!Percent renter-occupied housing units!!Estimate","San Antonio-New Braunfels, TX Metro Area!!Occupied housing units!!Estimate","San Antonio-New Braunfels, TX Metro Area!!Percent occupied housing units!!Estimate","San Antonio-New Braunfels, TX Metro Area!!Owner-occupied housing units!!Estimate","San Antonio-New Braunfels, TX Metro Area!!Percent owner-occupied housing units!!Estimate","San Antonio-New Braunfels, TX Metro Area!!Renter-occupied housing units!!Estimate","San Antonio-New Braunfels, TX Metro Area!!Percent renter-occupied housing units!!Estimate","Seattle-Tacoma-Bellevue, WA Metro Area!!Occupied housing units!!Estimate","Seattle-Tacoma-Bellevue, WA Metro Area!!Percent occupied housing units!!Estimate","Seattle-Tacoma-Bellevue, WA Metro Area!!Owner-occupied housing units!!Estimate","Seattle-Tacoma-Bellevue, WA Metro Area!!Percent owner-occupied housing units!!Estimate","Seattle-Tacoma-Bellevue, WA Metro Area!!Renter-occupied housing units!!Estimate","Seattle-Tacoma-Bellevue, WA Metro Area!!Percent renter-occupied housing units!!Estimate","Tampa-St. Petersburg-Clearwater, FL Metro Area!!Occupied housing units!!Estimate","Tampa-St. Petersburg-Clearwater, FL Metro Area!!Percent occupied housing units!!Estimate","Tampa-St. Petersburg-Clearwater, FL Metro Area!!Owner-occupied housing units!!Estimate","Tampa-St. Petersburg-Clearwater, FL Metro Area!!Percent owner-occupied housing units!!Estimate","Tampa-St. Petersburg-Clearwater, FL Metro Area!!Renter-occupied housing units!!Estimate","Tampa-St. Petersburg-Clearwater, FL Metro Area!!Percent renter-occupied housing units!!Estimate"
"Occupied housing units","2,341,283","2,341,283","1,570,338","1,570,338","770,945","770,945","1,036,074","1,036,074","602,192","602,192","433,882","433,882","1,127,320","1,127,320","755,740","755,740","371,580","371,580","1,103,360","1,103,360","721,432","721,432","381,928","381,928","2,959,385","2,959,385","1,769,613","1,769,613","1,189,772","1,189,772","1,244,895","1,244,895","785,480","785,480","459,415","459,415","2,731,843","2,731,843","1,677,691","1,677,691","1,054,152","1,054,152","693,081","693,081","462,206","462,206","230,875","230,875","2,349,920","2,349,920","1,452,129","1,452,129","897,791","897,791","1,501,453","1,501,453","1,054,444","1,054,444","447,009","447,009","863,464","863,464","561,010","561,010","302,454","302,454","1,073,662","1,073,662","670,080","670,080","403,582","403,582","1,922,068","1,922,068","1,285,690","1,285,690","636,378","636,378","1,028,651","1,028,651","639,150","639,150","389,501","389,501","600,306","600,306","397,366","397,366","202,940","202,940","1,179,884","1,179,884","837,482","837,482","342,402","342,402","986,961","986,961","634,407","634,407","352,554","352,554","1,627,693","1,627,693","974,123","974,123","653,570","653,570","1,358,788","1,358,788","922,351","922,351","436,437","436,437"
"    UNITS IN STRUCTURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        1, detached","1,594,990","68.1%","1,368,867","87.2%","226,123","29.3%","617,556","59.6%","526,976","87.5%","90,580","20.9%","522,273","46.3%","486,535","64.4%","35,738","9.6%","738,741","67.0%","624,432","86.6%","114,309","29.9%","1,900,641","64.2%","1,616,071","91.3%","284,570","23.9%","710,413","57.1%","628,462","80.0%","81,951","17.8%","1,748,126","64.0%","1,500,864","89.5%","247,262","23.5%","454,947","65.6%","387,347","83.8%","67,600","29.3%","1,032,109","43.9%","899,775","62.0%","132,334","14.7%","908,399","60.5%","855,790","81.2%","52,609","11.8%","562,774","65.2%","486,230","86.7%","76,544","25.3%","638,586","59.5%","545,900","81.5%","92,686","23.0%","1,303,217","67.8%","1,095,589","85.2%","207,628","32.6%","618,370","60.1%","540,497","84.6%","77,873","20.0%","381,816","63.6%","333,692","84.0%","48,124","23.7%","850,214","72.1%","746,535","89.1%","103,679","30.3%","679,040","68.8%","574,447","90.5%","104,593","29.7%","922,530","56.7%","802,544","82.4%","119,986","18.4%","800,046","58.9%","686,805","74.5%","113,241","25.9%"
"        1, attached","149,303","6.4%","109,203","7.0%","40,100","5.2%","39,718","3.8%","22,229","3.7%","17,489","4.0%","312,328","27.7%","218,327","28.9%","94,001","25.3%","65,601","5.9%","41,796","5.8%","23,805","6.2%","97,535","3.3%","55,746","3.2%","41,789","3.5%","110,729","8.9%","79,512","10.1%","31,217","6.8%","88,501","3.2%","58,368","3.5%","30,133","2.9%","36,447","5.3%","24,622","5.3%","11,825","5.1%","247,552","10.5%","168,306","11.6%","79,246","8.8%","156,109","10.4%","116,894","11.1%","39,215","8.8%","59,778","6.9%","39,896","7.1%","19,882","6.6%","70,676","6.6%","42,393","6.3%","28,283","7.0%","99,937","5.2%","71,762","5.6%","28,175","4.4%","63,194","6.1%","38,343","6.0%","24,851","6.4%","60,652","10.1%","38,275","9.6%","22,377","11.0%","51,131","4.3%","32,481","3.9%","18,650","5.4%","20,640","2.1%","9,581","1.5%","11,059","3.1%","93,232","5.7%","58,125","6.0%","35,107","5.4%","93,442","6.9%","69,256","7.5%","24,186","5.5%"
"        2 apartments","22,428","1.0%","1,984","0.1%","20,444","2.7%","23,468","2.3%","4,338","0.7%","19,130","4.4%","18,503","1.6%","2,175","0.3%","16,328","4.4%","13,716","1.2%","842","0.1%","12,874","3.4%","33,848","1.1%","2,037","0.1%","31,811","2.7%","12,830","1.0%","2,553","0.3%","10,277","2.2%","32,015","1.2%","2,449","0.1%","29,566","2.8%","9,987","1.4%","1,600","0.3%","8,387","3.6%","53,870","2.3%","12,734","0.9%","41,136","4.6%","33,381","2.2%","9,316","0.9%","24,065","5.4%","21,334","2.5%","2,386","0.4%","18,948","6.3%","12,553","1.2%","872","0.1%","11,681","2.9%","18,244","0.9%","1,667","0.1%","16,577","2.6%","23,736","2.3%","3,233","0.5%","20,503","5.3%","5,690","0.9%","781","0.2%","4,909","2.4%","32,847","2.8%","7,527","0.9%","25,320","7.4%","12,623","1.3%","1,958","0.3%","10,665","3.0%","31,156","1.9%","6,789","0.7%","24,367","3.7%","20,343","1.5%","2,650","0.3%","17,693","4.1%"
"        3 or 4 apartments","57,313","2.4%","6,422","0.4%","50,891","6.6%","26,767","2.6%","2,540","0.4%","24,227","5.6%","25,752","2.3%","3,068","0.4%","22,684","6.1%","23,103","2.1%","2,763","0.4%","20,340","5.3%","102,173","3.5%","7,644","0.4%","94,529","7.9%","33,496","2.7%","10,314","1.3%","23,182","5.0%","76,718","2.8%","5,885","0.4%","70,833","6.7%","30,623","4.4%","3,869","0.8%","26,754","11.6%","100,769","4.3%","31,686","2.2%","69,083","7.7%","27,930","1.9%","6,240","0.6%","21,690","4.9%","21,031","2.4%","2,842","0.5%","18,189","6.0%","37,630","3.5%","7,440","1.1%","30,190","7.5%","67,526","3.5%","13,361","1.0%","54,165","8.5%","41,931","4.1%","4,387","0.7%","37,544","9.6%","11,949","2.0%","1,236","0.3%","10,713","5.3%","55,575","4.7%","7,515","0.9%","48,060","14.0%","30,903","3.1%","1,562","0.2%","29,341","8.3%","60,744","3.7%","12,119","1.2%","48,625","7.4%","47,488","3.5%","11,073","1.2%","36,415","8.3%"
"        5 to 9 apartments","99,559","4.3%","10,051","0.6%","89,508","11.6%","40,517","3.9%","2,480","0.4%","38,037","8.8%","60,974","5.4%","7,364","1.0%","53,610","14.4%","44,957","4.1%","3,423","0.5%","41,534","10.9%","155,339","5.2%","5,926","0.3%","149,413","12.6%","59,815","4.8%","14,746","1.9%","45,069","9.8%","101,650","3.7%","6,605","0.4%","95,045","9.0%","30,482","4.4%","5,806","1.3%","24,676","10.7%","123,787","5.3%","37,333","2.6%","86,454","9.6%","36,456","2.4%","8,439","0.8%","28,017","6.3%","35,704","4.1%","2,984","0.5%","32,720","10.8%","57,391","5.3%","10,959","1.6%","46,432","11.5%","68,794","3.6%","10,709","0.8%","58,085","9.1%","57,141","5.6%","4,806","0.8%","52,335","13.4%","22,513","3.8%","1,804","0.5%","20,709","10.2%","47,843","4.1%","5,348","0.6%","42,495","12.4%","44,438","4.5%","627","0.1%","43,811","12.4%","81,686","5.0%","11,964","1.2%","69,722","10.7%","63,415","4.7%","13,611","1.5%","49,804","11.4%"
"        10 or more apartments","357,380","15.3%","35,915","2.3%","321,465","41.7%","244,530","23.6%","10,988","1.8%","233,542","53.8%","175,520","15.6%","29,706","3.9%","145,814","39.2%","155,971","14.1%","7,811","1.1%","148,160","38.8%","581,570","19.7%","18,344","1.0%","563,226","47.3%","301,039","24.2%","36,707","4.7%","264,332","57.5%","563,664","20.6%","20,030","1.2%","543,634","51.6%","92,580","13.4%","11,775","2.5%","80,805","35.0%","743,385","31.6%","269,404","18.6%","473,981","52.8%","316,062","21.1%","37,953","3.6%","278,109","62.2%","129,587","15.0%","6,944","1.2%","122,643","40.5%","197,471","18.4%","14,601","2.2%","182,870","45.3%","271,614","14.1%","19,641","1.5%","251,973","39.6%","184,835","18.0%","13,838","2.2%","170,997","43.9%","88,944","14.8%","4,110","1.0%","84,834","41.8%","108,698","9.2%","14,296","1.7%","94,402","27.6%","144,983","14.7%","3,298","0.5%","141,685","40.2%","393,756","24.2%","46,592","4.8%","347,164","53.1%","220,411","16.2%","48,864","5.3%","171,547","39.3%"
"        Mobile home or other type of housing","60,310","2.6%","37,896","2.4%","22,414","2.9%","43,518","4.2%","32,641","5.4%","10,877","2.5%","11,970","1.1%","8,565","1.1%","3,405","0.9%","61,271","5.6%","40,365","5.6%","20,906","5.5%","88,279","3.0%","63,845","3.6%","24,434","2.1%","16,573","1.3%","13,186","1.7%","3,387","0.7%","121,169","4.4%","83,490","5.0%","37,679","3.6%","38,015","5.5%","27,187","5.9%","10,828","4.7%","48,448","2.1%","32,891","2.3%","15,557","1.7%","23,116","1.5%","19,812","1.9%","3,304","0.7%","33,256","3.9%","19,728","3.5%","13,528","4.5%","59,355","5.5%","47,915","7.2%","11,440","2.8%","92,736","4.8%","72,961","5.7%","19,775","3.1%","39,444","3.8%","34,046","5.3%","5,398","1.4%","28,742","4.8%","17,468","4.4%","11,274","5.6%","33,576","2.8%","23,780","2.8%","9,796","2.9%","54,334","5.5%","42,934","6.8%","11,400","3.2%","44,589","2.7%","35,990","3.7%","8,599","1.3%","113,643","8.4%","90,092","9.8%","23,551","5.4%"
"    YEAR STRUCTURE BUILT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
