"Label (Grouping)","Atlanta-Sandy Springs-Alpharetta, GA Metro Area!!Occupied housing units!!Estimate","Atlanta-Sandy Springs-Alpharetta, GA Metro Area!!Percent occupied housing units!!Estimate","Atlanta-Sandy Springs-Alpharetta, GA Metro Area!!Owner-occupied housing units!!Estimate","Atlanta-Sandy Springs-Alpharetta, GA Metro Area!!Percent owner-occupied housing units!!Estimate","Atlanta-Sandy Springs-Alpharetta, GA Metro Area!!Renter-occupied housing units!!Estimate","Atlanta-Sandy Springs-Alpharetta, GA Metro Area!!Percent renter-occupied housing units!!Estimate","Austin-Round Rock-Georgetown, TX Metro Area!!Occupied housing units!!Estimate","Austin-Round Rock-Georgetown, TX Metro Area!!Percent occupied housing units!!Estimate","Austin-Round Rock-Georgetown, TX Metro Area!!Owner-occupied housing units!!Estimate","Austin-Round Rock-Georgetown, TX Metro Area!!Percent owner-occupied housing units!!Estimate","Austin-Round Rock-Georgetown, TX Metro Area!!Renter-occupied housing units!!Estimate","Austin-Round Rock-Georgetown, TX Metro Area!!Percent renter-occupied housing units!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Occupied housing units!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Percent occupied housing units!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Owner-occupied housing units!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Percent owner-occupied housing units!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Renter-occupied housing units!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Percent renter-occupied housing units!!Estimate","Charlotte-Concord-Gastonia, NC-SC Metro Area!!Occupied housing units!!Estimate","Charlotte-Concord-Gastonia, NC-SC Metro Area!!Percent occupied housing units!!Estimate","Charlotte-Concord-Gastonia, NC-SC Metro Area!!Owner-occupied housing units!!Estimate","Charlotte-Concord-Gastonia, NC-SC Metro Area!!Percent owner-occupied housing units!!Estimate","Charlotte-Concord-Gastonia, NC-SC Metro Area!!Renter-occupied housing units!!Estimate","Charlotte-Concord-Gastonia, NC-SC Metro Area!!Percent renter-occupied housing units!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Occupied housing units!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Percent occupied housing units!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Owner-occupied housing units!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Percent owner-occupied housing units!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Renter-occupied housing units!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Percent renter-occupied housing units!!Estimate","Denver-Aurora-Lakewood, CO Metro Area!!Occupied housing units!!Estimate","Denver-Aurora-Lakewood, CO Metro Area!!Percent occupied housing units!!Estimate","Denver-Aurora-Lakewood, CO Metro Area!!Owner-occupied housing units!!Estimate","Denver-Aurora-Lakewood, CO Metro Area!!Percent owner-occupied housing units!!Estimate","Denver-Aurora-Lakewood, CO Metro Area!!Renter-occupied housing units!!Estimate","Denver-Aurora-Lakewood, CO Metro Area!!Percent renter-occupied housing units!!Estimate","Houston-The Woodlands-Sugar Land, TX Metro Area!!Occupied housing units!!Estimate","Houston-The Woodlands-Sugar Land, TX Metro Area!!Percent occupied housing units!!Estimate","Houston-The Woodlands-Sugar Land, TX Metro Area!!Owner-occupied housing units!!Estimate","Houston-The Woodlands-Sugar Land, TX Metro Area!!Percent owner-occupied housing units!!Estimate","Houston-The Woodlands-Sugar Land, TX Metro Area!!Renter-occupied housing units!!Estimate","Houston-The Woodlands-Sugar Land, TX Metro Area!!Percent renter-occupied housing units!!Estimate","Jacksonville, FL Metro Area!!Occupied housing units!!Estimate","Jacksonville, FL Metro Area!!Percent occupied housing units!!Estimate","Jacksonville, FL Metro Area!!Owner-occupied housing units!!Estimate","Jacksonville, FL Metro Area!!Percent owner-occupied housing units!!Estimate","Jacksonville, FL Metro Area!!Renter-occupied housing units!!Estimate","Jacksonville, FL Metro Area!!Percent renter-occupied housing units!!Estimate","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area!!Occupied housing units!!Estimate","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area!!Percent occupied housing units!!Estimate","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area!!Owner-occupied housing units!!Estimate","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area!!Percent owner-occupied housing units!!Estimate","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area!!Renter-occupied housing units!!Estimate","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area!!Percent renter-occupied housing units!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Occupied housing units!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Percent occupied housing units!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Owner-occupied housing units!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Percent owner-occupied housing units!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Renter-occupied housing units!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Percent renter-occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Percent occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Owner-occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Percent owner-occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Renter-occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Percent renter-occupied housing units!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Occupied housing units!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Percent occupied housing units!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Owner-occupied housing units!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Percent owner-occupied housing units!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Renter-occupied housing units!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Percent renter-occupied housing units!!Estimate","Phoenix-Mesa-Chandler, AZ Metro Area!!Occupied housing units!!Estimate","Phoenix-Mesa-Chandler, AZ Metro Area!!Percent occupied housing units!!Estimate","Phoenix-Mesa-Chandler, AZ Metro Area!!Owner-occupied housing units!!Estimate","Phoenix-Mesa-Chandler, AZ Metro Area!!Percent owner-occupied housing units!!Estimate","Phoenix-Mesa-Chandler, AZ Metro Area!!Renter-occupied housing units!!Estimate","Phoenix-Mesa-Chandler, AZ Metro Area!!Percent renter-occupied housing units!!Estimate","Portland-Vancouver-Hillsboro, OR-WA Metro Area!!Occupied housing units!!Estimate","Portland-Vancouver-Hillsboro, OR-WA Metro Area!!Percent occupied housing units!!Estimate","Portland-Vancouver-Hillsboro, OR-WA Metro Area!!Owner-occupied housing units!!Estimate","Portland-Vancouver-Hillsboro, OR-WA Metro Area!!Percent owner-occupied housing units!!Estimate","Portland-Vancouver-Hillsboro, OR-WA Metro Area!!Renter-occupied housing units!!Estimate","Portland-Vancouver-Hillsboro, OR-WA Metro Area!!Percent renter-occupied housing units!!Estimate","Raleigh-Cary, NC Metro Area!!Occupied housing units!!Estimate","Raleigh-Cary, NC Metro Area!!Percent occupied housing units!!Estimate","Raleigh-Cary, NC Metro Area!!Owner-occupied housing units!!Estimate","Raleigh-Cary, NC Metro Area!!Percent owner-occupied housing units!!Estimate","Raleigh-Cary, NC Metro Area!!Renter-occupied housing units!!Estimate","Raleigh-Cary, NC Metro Area!!Percent renter-occupied housing units!!Estimate","St. Louis, MO-IL Metro Area!!Occupied housing units!!Estimate","St. Louis, MO-IL Metro Area!!Percent occupied housing units!!Estimate","St. Louis, MO-IL Metro Area!!Owner-occupied housing units!!Estimate","St. Louis, MO-IL Metro Area!!Percent owner-occupied housing units!!Estimate","St. Louis, MO-IL Metro Area!!Renter-occupied housing units!!Estimate","St. Louis, MO-IL Metro Area!!Percent renter-occupied housing units!!Estimate","San Antonio-New Braunfels, TX Metro Area!!Occupied housing units!!Estimate","San Antonio-New Braunfels, TX Metro Area!!Percent occupied housing units!!Estimate","San Antonio-New Braunfels, TX Metro Area!!Owner-occupied housing units!!Estimate","San Antonio-New Braunfels, TX Metro Area!!Percent owner-occupied housing units!!Estimate","San Antonio-New Braunfels, TX Metro Area!!Renter-occupied housing units!!Estimate","San Antonio-New Braunfels, TX Metro Area!!Percent renter-occupied housing units!!Estimate","Seattle-Tacoma-Bellevue, WA Metro Area!!Occupied housing units!!Estimate","Seattle-Tacoma-Bellevue, WA Metro Area!!Percent occupied housing units!!Estimate","Seattle-Tacoma-Bellevue, WA Metro Area!!Owner-occupied housing units!!Estimate","Seattle-Tacoma-Bellevue, WA Metro Area!!Percent owner-occupied housing units!!Estimate","Seattle-Tacoma-Bellevue, WA Metro Area!!Renter-occupied housing units!!Estimate","Seattle-Tacoma-Bellevue, WA Metro Area!!Percent renter-occupied housing units!!Estimate","Tampa-St. Petersburg-Clearwater, FL Metro Area!!Occupied housing units!!Estimate","Tampa-St. Petersburg-Clearwater, FL Metro Area!!Percent occupied housing units!!Estimate","Tampa-St. Petersburg-Clearwater, FL Metro Area!!Owner-occupied housing units!!Estimate","Tampa-St. Petersburg-Clearwater, FL Metro Area!!Percent owner-occupied housing units!!Estimate","Tampa-St. Petersburg-Clearwater, FL Metro Area!!Renter-occupied housing units!!Estimate","Tampa-St. Petersburg-Clearwater, FL Metro Area!!Percent renter-occupied housing units!!Estimate"
"Occupied housing units","2,152,319","2,152,319","1,382,025","1,382,025","770,294","770,294","796,315","796,315","466,441","466,441","329,874","329,874","1,062,780","1,062,780","707,862","707,862","354,918","354,918","975,476","975,476","644,100","644,100","331,376","331,376","2,615,579","2,615,579","1,561,136","1,561,136","1,054,443","1,054,443","1,097,674","1,097,674","711,209","711,209","386,465","386,465","2,407,993","2,407,993","1,466,613","1,466,613","941,380","941,380","578,620","578,620","377,697","377,697","200,923","200,923","2,172,740","2,172,740","1,299,739","1,299,739","873,001","873,001","1,390,448","1,390,448","979,442","979,442","411,006","411,006","727,452","727,452","477,503","477,503","249,949","249,949","893,257","893,257","553,334","553,334","339,923","339,923","1,745,219","1,745,219","1,123,410","1,123,410","621,809","621,809","957,977","957,977","596,748","596,748","361,229","361,229","507,613","507,613","333,928","333,928","173,685","173,685","1,137,735","1,137,735","787,973","787,973","349,762","349,762","826,094","826,094","518,774","518,774","307,320","307,320","1,529,875","1,529,875","921,152","921,152","608,723","608,723","1,239,349","1,239,349","815,666","815,666","423,683","423,683"
"    UNITS IN STRUCTURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        1, detached","1,470,786","68.3%","1,217,841","88.1%","252,945","32.8%","486,165","61.1%","412,112","88.4%","74,053","22.4%","500,097","47.1%","461,776","65.2%","38,321","10.8%","669,092","68.6%","558,474","86.7%","110,618","33.4%","1,702,465","65.1%","1,433,472","91.8%","268,993","25.5%","659,714","60.1%","578,824","81.4%","80,890","20.9%","1,555,857","64.6%","1,310,820","89.4%","245,037","26.0%","383,163","66.2%","316,020","83.7%","67,143","33.4%","992,436","45.7%","831,993","64.0%","160,443","18.4%","858,552","61.7%","800,218","81.7%","58,334","14.2%","487,073","67.0%","416,895","87.3%","70,178","28.1%","553,491","62.0%","457,316","82.6%","96,175","28.3%","1,170,623","67.1%","953,089","84.8%","217,534","35.0%","597,990","62.4%","513,930","86.1%","84,060","23.3%","320,386","63.1%","280,342","84.0%","40,044","23.1%","818,687","72.0%","706,952","89.7%","111,735","31.9%","565,244","68.4%","470,148","90.6%","95,096","30.9%","896,463","58.6%","765,702","83.1%","130,761","21.5%","735,277","59.3%","611,770","75.0%","123,507","29.2%"
"        1, attached","120,533","5.6%","82,900","6.0%","37,633","4.9%","29,327","3.7%","13,947","3.0%","15,380","4.7%","292,004","27.5%","198,164","28.0%","93,840","26.4%","50,964","5.2%","32,736","5.1%","18,228","5.5%","77,627","3.0%","40,877","2.6%","36,750","3.5%","93,041","8.5%","65,463","9.2%","27,578","7.1%","75,623","3.1%","49,494","3.4%","26,129","2.8%","27,172","4.7%","17,373","4.6%","9,799","4.9%","220,852","10.2%","139,741","10.8%","81,111","9.3%","148,484","10.7%","107,509","11.0%","40,975","10.0%","41,285","5.7%","28,049","5.9%","13,236","5.3%","60,691","6.8%","34,935","6.3%","25,756","7.6%","86,215","4.9%","59,581","5.3%","26,634","4.3%","53,464","5.6%","30,391","5.1%","23,073","6.4%","48,131","9.5%","30,995","9.3%","17,136","9.9%","46,202","4.1%","29,565","3.8%","16,637","4.8%","17,494","2.1%","8,392","1.6%","9,102","3.0%","74,950","4.9%","44,997","4.9%","29,953","4.9%","76,171","6.1%","52,577","6.4%","23,594","5.6%"
"        2 apartments","27,667","1.3%","2,384","0.2%","25,283","3.3%","17,894","2.2%","2,201","0.5%","15,693","4.8%","17,899","1.7%","2,824","0.4%","15,075","4.2%","11,687","1.2%","955","0.1%","10,732","3.2%","32,562","1.2%","2,993","0.2%","29,569","2.8%","13,821","1.3%","2,784","0.4%","11,037","2.9%","25,862","1.1%","3,180","0.2%","22,682","2.4%","6,982","1.2%","833","0.2%","6,149","3.1%","51,552","2.4%","11,106","0.9%","40,446","4.6%","30,665","2.2%","8,237","0.8%","22,428","5.5%","18,746","2.6%","2,498","0.5%","16,248","6.5%","12,182","1.4%","1,266","0.2%","10,916","3.2%","17,592","1.0%","2,008","0.2%","15,584","2.5%","22,538","2.4%","3,171","0.5%","19,367","5.4%","6,813","1.3%","515","0.2%","6,298","3.6%","36,556","3.2%","7,821","1.0%","28,735","8.2%","11,860","1.4%","940","0.2%","10,920","3.6%","30,792","2.0%","6,353","0.7%","24,439","4.0%","23,026","1.9%","3,479","0.4%","19,547","4.6%"
"        3 or 4 apartments","51,510","2.4%","6,849","0.5%","44,661","5.8%","24,465","3.1%","2,589","0.6%","21,876","6.6%","26,179","2.5%","1,905","0.3%","24,274","6.8%","21,614","2.2%","1,981","0.3%","19,633","5.9%","84,657","3.2%","6,034","0.4%","78,623","7.5%","29,842","2.7%","8,519","1.2%","21,323","5.5%","62,182","2.6%","3,626","0.2%","58,556","6.2%","20,842","3.6%","3,092","0.8%","17,750","8.8%","99,999","4.6%","29,600","2.3%","70,399","8.1%","26,836","1.9%","6,573","0.7%","20,263","4.9%","18,370","2.5%","2,514","0.5%","15,856","6.3%","34,201","3.8%","4,770","0.9%","29,431","8.7%","62,940","3.6%","8,378","0.7%","54,562","8.8%","41,086","4.3%","4,003","0.7%","37,083","10.3%","11,720","2.3%","815","0.2%","10,905","6.3%","55,758","4.9%","4,971","0.6%","50,787","14.5%","32,196","3.9%","2,025","0.4%","30,171","9.8%","58,891","3.8%","9,243","1.0%","49,648","8.2%","45,737","3.7%","8,577","1.1%","37,160","8.8%"
"        5 to 9 apartments","100,388","4.7%","8,323","0.6%","92,065","12.0%","32,481","4.1%","1,679","0.4%","30,802","9.3%","53,141","5.0%","6,623","0.9%","46,518","13.1%","40,903","4.2%","3,477","0.5%","37,426","11.3%","143,154","5.5%","5,098","0.3%","138,056","13.1%","50,582","4.6%","11,970","1.7%","38,612","10.0%","108,246","4.5%","6,637","0.5%","101,609","10.8%","26,231","4.5%","4,462","1.2%","21,769","10.8%","119,425","5.5%","31,335","2.4%","88,090","10.1%","30,205","2.2%","6,512","0.7%","23,693","5.8%","35,617","4.9%","3,299","0.7%","32,318","12.9%","50,222","5.6%","6,211","1.1%","44,011","12.9%","77,971","4.5%","9,314","0.8%","68,657","11.0%","48,050","5.0%","4,524","0.8%","43,526","12.0%","22,972","4.5%","1,383","0.4%","21,589","12.4%","48,970","4.3%","5,342","0.7%","43,628","12.5%","41,119","5.0%","1,189","0.2%","39,930","13.0%","81,709","5.3%","12,303","1.3%","69,406","11.4%","58,274","4.7%","12,854","1.6%","45,420","10.7%"
"        10 or more apartments","323,363","15.0%","30,832","2.2%","292,531","38.0%","170,464","21.4%","8,280","1.8%","162,184","49.2%","163,084","15.3%","28,224","4.0%","134,860","38.0%","116,420","11.9%","6,502","1.0%","109,918","33.2%","491,823","18.8%","13,593","0.9%","478,230","45.4%","232,949","21.2%","30,778","4.3%","202,171","52.3%","468,470","19.5%","17,756","1.2%","450,714","47.9%","74,055","12.8%","8,981","2.4%","65,074","32.4%","643,603","29.6%","225,385","17.3%","418,218","47.9%","274,278","19.7%","32,472","3.3%","241,806","58.8%","95,110","13.1%","5,411","1.1%","89,699","35.9%","130,205","14.6%","9,490","1.7%","120,715","35.5%","233,475","13.4%","17,232","1.5%","216,243","34.8%","159,531","16.7%","12,475","2.1%","147,056","40.7%","69,377","13.7%","2,861","0.9%","66,516","38.3%","98,180","8.6%","9,792","1.2%","88,388","25.3%","113,086","13.7%","2,609","0.5%","110,477","35.9%","338,603","22.1%","43,912","4.8%","294,691","48.4%","190,264","15.4%","43,241","5.3%","147,023","34.7%"
"        Mobile home or other type of housing","58,072","2.7%","32,896","2.4%","25,176","3.3%","35,519","4.5%","25,633","5.5%","9,886","3.0%","10,376","1.0%","8,346","1.2%","2,030","0.6%","64,796","6.6%","39,975","6.2%","24,821","7.5%","83,291","3.2%","59,069","3.8%","24,222","2.3%","17,725","1.6%","12,871","1.8%","4,854","1.3%","111,753","4.6%","75,100","5.1%","36,653","3.9%","40,175","6.9%","26,936","7.1%","13,239","6.6%","44,873","2.1%","30,579","2.4%","14,294","1.6%","21,428","1.5%","17,921","1.8%","3,507","0.9%","31,251","4.3%","18,837","3.9%","12,414","5.0%","52,265","5.9%","39,346","7.1%","12,919","3.8%","96,403","5.5%","73,808","6.6%","22,595","3.6%","35,318","3.7%","28,254","4.7%","7,064","2.0%","28,214","5.6%","17,017","5.1%","11,197","6.4%","33,382","2.9%","23,530","3.0%","9,852","2.8%","45,095","5.5%","33,471","6.5%","11,624","3.8%","48,467","3.2%","38,642","4.2%","9,825","1.6%","110,600","8.9%","83,168","10.2%","27,432","6.5%"
"    YEAR STRUCTURE BUILT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
