geoID,Metro,Total population,Median age (years),Average  household size,Average family size,Population 25 years and over,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree,Graduate or professional degree,Median Household income (dollars),Owner-occupied housing units,Renter-occupied housing units,less_than_30%_Owner,over_30%_Owner,less_than_30%_renter,over_30%_renter,year
1,Atlanta-Sandy Springs-Alpharetta,6018744.0,36.8,2.71,3.35,4020704.0,10.0,23.4,26.7,24.8,15.1,71742.0,64.3,35.7,80.8,19.2,53.0,47.0,2019
1,Atlanta-Sandy Springs-Alpharetta,6222908.0,37.3,2.66,3.26,4190907.0,8.5,23.3,26.4,25.4,16.4,84876.0,66.5,33.5,79.8,20.2,49.9,50.1,2022
1,Atlanta-Sandy Springs-Alpharetta,5947008.0,36.6,2.72,3.34,3954127.0,9.8,23.7,27.0,24.5,15.0,71193.0,64.2,35.8,79.6,20.4,53.1,46.9,2020
1,Atlanta-Sandy Springs-Alpharetta,6144970.0,37.2,2.66,3.26,4134448.0,9.1,22.7,26.0,25.9,16.3,77589.0,66.9,33.1,79.4,20.6,49.7,50.3,2021
1,Atlanta-Sandy Springs-Alpharetta,6305839.0,37.6,2.66,3.29,4261178.0,9.2,22.4,25.8,25.9,16.7,86505.0,67.1,32.9,77.2,22.8,46.0,54.0,2023
2,Austin-Round Rock-Georgetown,2227083.0,35.2,2.67,3.31,1507707.0,9.6,19.2,25.0,29.6,16.6,80954.0,57.6,42.4,78.8,21.2,54.8,45.2,2019
2,Austin-Round Rock-Georgetown,2421115.0,35.9,2.38,3.03,1665370.0,7.9,16.0,24.0,32.7,19.4,94604.0,58.8,41.2,78.3,21.7,53.5,46.5,2022
2,Austin-Round Rock-Georgetown,2173804.0,35.0,2.68,3.33,1464721.0,9.4,18.5,26.1,29.4,16.6,80852.0,58.6,41.4,78.2,21.8,55.1,44.9,2020
2,Austin-Round Rock-Georgetown,2352426.0,35.9,2.42,3.09,1613795.0,8.1,18.1,23.8,31.8,18.3,86530.0,58.8,41.2,76.3,23.7,53.7,46.3,2021
2,Austin-Round Rock-Georgetown,2473275.0,36.3,2.34,3.01,1712279.0,7.5,16.2,24.2,33.0,19.1,98508.0,58.1,41.9,76.5,23.5,49.5,50.5,2023
3,Baltimore-Columbia-Towson,2800053.0,38.6,2.57,3.22,1946830.0,8.4,24.5,25.2,23.1,18.8,83160.0,66.4,33.6,79.1,20.9,53.5,46.5,2019
3,Baltimore-Columbia-Towson,2835672.0,39.3,2.47,3.11,1976951.0,7.7,23.6,24.3,24.3,20.1,90505.0,67.3,32.7,77.5,22.5,50.3,49.7,2022
3,Baltimore-Columbia-Towson,2800427.0,38.5,2.57,3.2,1942666.0,8.7,24.4,25.9,22.6,18.4,83811.0,66.6,33.4,78.4,21.6,54.1,45.9,2020
3,Baltimore-Columbia-Towson,2838327.0,38.9,2.48,3.09,1973442.0,7.7,23.6,25.8,23.1,19.8,86302.0,67.4,32.6,78.3,21.7,49.4,50.6,2021
3,Baltimore-Columbia-Towson,2834316.0,39.4,2.46,3.12,1974988.0,7.7,23.6,24.3,23.4,21.0,94289.0,67.0,33.0,77.4,22.6,49.1,50.9,2023
4,Charlotte-Concord-Gastonia,2636883.0,37.7,2.65,3.26,1794033.0,10.2,22.8,30.8,23.9,12.3,66399.0,65.4,34.6,82.9,17.1,58.0,42.0,2019
4,Charlotte-Concord-Gastonia,2756069.0,38.0,2.5,3.12,1886170.0,8.5,23.0,27.8,26.7,14.0,77154.0,65.8,34.2,81.8,18.2,53.3,46.7,2022
4,Charlotte-Concord-Gastonia,2595027.0,37.6,2.62,3.22,1760005.0,10.6,23.1,30.4,23.8,12.1,65725.0,66.0,34.0,81.7,18.3,58.1,41.9,2020
4,Charlotte-Concord-Gastonia,2701046.0,38.1,2.54,3.15,1842756.0,9.7,22.7,28.3,25.6,13.7,71041.0,66.7,33.3,82.0,18.0,54.2,45.8,2021
4,Charlotte-Concord-Gastonia,2805115.0,38.0,2.51,3.12,1923968.0,8.9,22.1,27.6,26.5,14.8,81262.0,65.4,34.6,79.9,20.1,51.6,48.4,2023
5,Dallas-Fort Worth-Arlington,7573136.0,35.2,2.84,3.46,4932192.0,13.4,22.9,27.4,23.4,12.8,72265.0,59.5,40.5,77.9,22.1,55.1,44.9,2019
5,Dallas-Fort Worth-Arlington,7943685.0,35.5,2.7,3.33,5212513.0,12.2,21.6,26.8,25.0,14.4,82823.0,60.2,39.8,76.5,23.5,48.9,51.1,2022
5,Dallas-Fort Worth-Arlington,7451858.0,35.0,2.82,3.42,4834024.0,13.8,22.2,28.1,23.4,12.6,72882.0,59.7,40.3,78.8,21.2,55.6,44.4,2020
5,Dallas-Fort Worth-Arlington,7759615.0,35.6,2.71,3.31,5087795.0,12.9,21.8,27.0,24.7,13.7,75975.0,59.8,40.2,77.0,23.0,50.3,49.7,2021
5,Dallas-Fort Worth-Arlington,8100037.0,35.8,2.7,3.34,5348237.0,12.2,21.3,26.6,25.1,14.8,86860.0,59.8,40.2,75.3,24.7,47.7,52.3,2023
6,Denver-Aurora-Lakewood,2967239.0,36.7,2.54,3.17,2075491.0,7.8,19.8,26.5,28.7,17.1,85641.0,64.3,35.7,77.2,22.8,52.9,47.1,2019
6,Denver-Aurora-Lakewood,2985871.0,37.3,2.41,3.07,2117187.0,7.6,18.3,24.7,31.4,18.0,98975.0,64.5,35.5,75.9,24.1,49.6,50.4,2022
6,Denver-Aurora-Lakewood,2928437.0,36.7,2.64,3.28,2037508.0,8.4,19.9,27.0,28.4,16.3,83289.0,64.8,35.2,77.7,22.3,51.6,48.4,2020
6,Denver-Aurora-Lakewood,2972567.0,37.3,2.47,3.11,2098660.0,8.1,18.6,25.5,29.7,18.1,90716.0,65.3,34.7,76.5,23.5,48.9,51.1,2021
6,Denver-Aurora-Lakewood,3005131.0,37.5,2.39,3.03,2142068.0,7.2,17.5,25.3,30.8,19.2,103055.0,63.1,36.9,75.1,24.9,49.1,50.9,2023
7,Houston-The Woodlands-Sugar Land,7066140.0,34.9,2.87,3.46,4571710.0,15.4,23.5,27.8,21.3,12.1,69193.0,60.1,39.9,80.1,19.9,52.8,47.2,2019
7,Houston-The Woodlands-Sugar Land,7340118.0,35.4,2.71,3.28,4760503.0,14.9,22.8,26.2,22.6,13.4,74863.0,60.5,39.5,76.4,23.6,49.4,50.6,2022
