geoID,Metro
1,Atlanta-Sandy Springs-Alpharetta
2,Austin-Round Rock-Georgetown
3,Baltimore-Columbia-Towson
4,Charlotte-Concord-Gastonia
5,Dallas-Fort Worth-Arlington
6,Denver-Aurora-Lakewood
7,Houston-The Woodlands-Sugar Land
8,Jacksonville
9,Miami-Fort Lauderdale-Pompano Beach
10,Minneapolis-St. Paul-Bloomington
11,Nashville-Davidson--Murfreesboro--Franklin
12,Orlando-Kissimmee-Sanford
13,Phoenix-Mesa-Chandler
14,Portland-Vancouver-Hillsboro
15,Raleigh-Cary
16,St. Louis
17,San Antonio-New Braunfels
18,Seattle-Tacoma-Bellevue
19,Tampa-St. Petersburg-Clearwater
